classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::queryParser::surround::query::ComposedQuery ; 3 ; 0 ; 0 ; 3 ; 8.0 ; 6.0 ; 2.66667 ; 7.0 ; 5.0 ; 2.33333 ; 1.0 ; 1.0 ; 0.333333 ; 170.143 ; 73.4286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::SpanBuilderBase ; 2 ; 0 ; 0 ; 1 ; 17.0 ; 16.0 ; 8.5 ; 2.0 ; 1.0 ; 1.0 ; 15.0 ; 15.0 ; 7.5 ; 136.571 ; 45.042 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::Directory ; 22 ; 3 ; 0 ; 6 ; 241.0 ; 45.0 ; 10.9545 ; 128.0 ; 51.0 ; 5.81818 ; 113.0 ; 45.0 ; 5.13636 ; 368.143 ; 217.232 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder ; 2 ; 0 ; 0 ; 2 ; 2.0 ; 1.0 ; 1.0 ; 4.0 ; 3.0 ; 2.0 ; -2.0 ; 0 ; -1.0 ; 53.1429 ; 24.9286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::BooleanQueryBuilder ; 7 ; 1 ; 0 ; 2 ; 37.0 ; 16.0 ; 5.28571 ; 26.0 ; 12.0 ; 3.71429 ; 11.0 ; 15.0 ; 1.57143 ; 136.571 ; 35.1892 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocInverterPerField ; 2 ; 0 ; 1 ; 1 ; 3.0 ; 2.0 ; 1.5 ; 11.0 ; 10.0 ; 5.5 ; -8.0 ; 0 ; -4.0 ; 11.7143 ; 3.14286 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::el::GreekLowerCaseFilter ; 3 ; 0 ; 0 ; 3 ; 9.0 ; 8.0 ; 3.0 ; 15.0 ; 13.0 ; 5.0 ; -6.0 ; 0 ; -2.0 ; 180.286 ; 154.032 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::ReadOnlySegmentReader ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 6.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::spans::SpanNotQuery ; 11 ; 2 ; 0 ; 7 ; 108.0 ; 26.0 ; 9.81818 ; 22.0 ; 8.0 ; 2.0 ; 86.0 ; 22.0 ; 7.81818 ; 244.714 ; 113.093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask ; 3 ; 0 ; 0 ; 2 ; 82.0 ; 43.0 ; 27.3333 ; 46.0 ; 43.0 ; 15.3333 ; 36.0 ; 36.0 ; 12.0 ; 90.5714 ; 10.3537 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::InvertedDocEndConsumer ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 11.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SpanGradientFormatter ; 3 ; 0 ; 0 ; 3 ; 7.0 ; 6.0 ; 2.33333 ; 8.0 ; 5.0 ; 2.66667 ; -1.0 ; 1.0 ; -0.333333 ; 190.0 ; 95.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::CoreParser ; 9 ; 2 ; 0 ; 2 ; 60.0 ; 29.0 ; 6.66667 ; 4.0 ; 1.0 ; 0.444444 ; 56.0 ; 28.0 ; 6.22222 ; 136.571 ; 69.35 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::compound::hyphenation::HyphenationException ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 20.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::FilteredQueryBuilder ; 3 ; 0 ; 0 ; 2 ; 18.0 ; 16.0 ; 6.0 ; 5.0 ; 3.0 ; 1.66667 ; 13.0 ; 15.0 ; 4.33333 ; 136.0 ; 49.4048 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::stats::MemUsage ; 3 ; 0 ; 0 ; 2 ; 1.0 ; 1 ; 0.333333 ; 2.0 ; 1.0 ; 0.666667 ; -1.0 ; 0.0 ; -0.333333 ; 99.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::ParallelReader ; 22 ; 4 ; 1 ; 7 ; 413.0 ; 118.0 ; 18.7727 ; 138.0 ; 23.0 ; 6.27273 ; 275.0 ; 113.0 ; 12.5 ; 177.857 ; 87.8565 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::ChecksumIndexInput ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 34.2857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 20.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::SingleInstanceLockFactory ; 4 ; 1 ; 0 ; 2 ; 13.0 ; 6.0 ; 3.25 ; 9.0 ; 5.0 ; 2.25 ; 4.0 ; 4.0 ; 1.0 ; 110.143 ; 13.7802 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::ar::ArabicNormalizationFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::StopAnalyzer ; 12 ; 1 ; 0 ; 7 ; 69.0 ; 17.0 ; 5.75 ; 67.0 ; 51.0 ; 5.58333 ; 2.0 ; 17.0 ; 0.166667 ; 368.143 ; 208.59 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::PerFieldAnalyzerWrapper ; 9 ; 2 ; 0 ; 6 ; 59.0 ; 16.0 ; 6.55556 ; 61.0 ; 51.0 ; 6.77778 ; -2.0 ; 14.0 ; -0.222222 ; 262.857 ; 104.37 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::IndexReader ; 95 ; 19 ; 2 ; 13 ; 1990.0 ; 132.0 ; 20.9474 ; 1099.0 ; 202.0 ; 11.5684 ; 891.0 ; 98.0 ; 9.37895 ; 368.143 ; 207.691 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::wordnet::SynLookup ; 2 ; 0 ; 0 ; 2 ; 2 ; 1 ; 1.0 ; 2 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 245.286 ; 25.0714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 170.143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter ; 3 ; 0 ; 0 ; 3 ; 20.0 ; 16.0 ; 6.66667 ; 18.0 ; 16.0 ; 6.0 ; 2.0 ; 2.0 ; 0.666667 ; 82.1429 ; 68.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::ExtendedFieldCacheImpl ; 4 ; 0 ; 1 ; 2 ; 80.0 ; 59.0 ; 20.0 ; 15.0 ; 11.0 ; 3.75 ; 65.0 ; 48.0 ; 16.25 ; 49.0 ; 16.5536 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::NewRoundTask ; 3 ; 0 ; 0 ; 2 ; 45.0 ; 43.0 ; 15.0 ; 45.0 ; 43.0 ; 15.0 ; 0.0 ; 0.0 ; 0.0 ; 90.5714 ; 10.9968 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::stats::Points ; 3 ; 0 ; 0 ; 2 ; 92.0 ; 85.0 ; 30.6667 ; 344.0 ; 258.0 ; 114.667 ; -252.0 ; 0.0 ; -84.0 ; 90.5714 ; 11.0512 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter ; 2 ; 0 ; 0 ; 2 ; 16.0 ; 15.0 ; 8.0 ; 44.0 ; 43.0 ; 22.0 ; -28.0 ; 0 ; -14.0 ; 14.0 ; 6.5625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::Token ; 2 ; 0 ; 0 ; 2 ; 56.0 ; 55.0 ; 28.0 ; 13.0 ; 12.0 ; 6.5 ; 43.0 ; 43.0 ; 21.5 ; 264.857 ; 257.041 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::Lock ; 20 ; 1 ; 0 ; 8 ; 184.0 ; 50.0 ; 9.2 ; 165.0 ; 51.0 ; 8.25 ; 19.0 ; 25.0 ; 0.95 ; 366.857 ; 165.044 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FreqProxTermsWriter ; 2 ; 0 ; 1 ; 1 ; 61.0 ; 60.0 ; 30.5 ; 41.0 ; 40.0 ; 20.5 ; 20.0 ; 20.0 ; 10.0 ; 11.7143 ; 2.52927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::compound::hyphenation::Hyphen ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 20.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::InvertedDocConsumerPerThread ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 11.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Analyzer ; 11 ; 1 ; 0 ; 8 ; 78.0 ; 28.0 ; 7.09091 ; 88.0 ; 51.0 ; 8.0 ; -10.0 ; 27.0 ; -0.909091 ; 368.143 ; 237.31 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder ; 6 ; 0 ; 0 ; 3 ; 64.0 ; 38.0 ; 10.6667 ; 10.0 ; 5.0 ; 1.66667 ; 54.0 ; 38.0 ; 9.0 ; 136.571 ; 36.9531 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::RangeFilterBuilder ; 3 ; 0 ; 0 ; 2 ; 18.0 ; 16.0 ; 6.0 ; 5.0 ; 3.0 ; 1.66667 ; 13.0 ; 15.0 ; 4.33333 ; 136.571 ; 49.9444 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::LovinsStemmer ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 6.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::util::UnicodeUtil ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 28.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::NumberTools ; 5 ; 1 ; 0 ; 5 ; 13.0 ; 6.0 ; 2.6 ; 12.0 ; 5.0 ; 2.4 ; 1.0 ; 1.0 ; 0.2 ; 202.143 ; 59.011 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::ExactPhraseScorer ; 10 ; 1 ; 0 ; 7 ; 39.0 ; 13.0 ; 3.9 ; 75.0 ; 51.0 ; 7.5 ; -36.0 ; 3.0 ; -3.6 ; 368.143 ; 182.044 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::FSDirectory ; 81 ; 15 ; 1 ; 10 ; 1262.0 ; 128.0 ; 15.5802 ; 890.0 ; 108.0 ; 10.9877 ; 372.0 ; 51.0 ; 4.59259 ; 368.143 ; 204.577 ; 5 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::TextDocument ; 2 ; 1 ; 0 ; 1 ; 2 ; 1 ; 1.0 ; 2 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 325.857 ; 39.7857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::SpanNotBuilder ; 3 ; 0 ; 0 ; 1 ; 25.0 ; 16.0 ; 8.33333 ; 22.0 ; 20.0 ; 7.33333 ; 3.0 ; 15.0 ; 1.0 ; 136.571 ; 30.8114 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::instantiated::InstantiatedIndexReader ; 4 ; 0 ; 0 ; 2 ; 122.0 ; 119.0 ; 30.5 ; 60.0 ; 57.0 ; 15.0 ; 62.0 ; 62.0 ; 15.5 ; 29.8571 ; 15.2482 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::PortugueseStemmer ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 6.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::util::CloseableThreadLocal ; 2 ; 0 ; 0 ; 1 ; 15.0 ; 14.0 ; 7.5 ; 6.0 ; 5.0 ; 3.0 ; 9.0 ; 9.0 ; 4.5 ; 3.42857 ; 0.266667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsTermsWriter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeScheduler ; 4 ; 0 ; 0 ; 1 ; 10.0 ; 5.0 ; 2.5 ; 7.0 ; 3.0 ; 1.75 ; 3.0 ; 3.0 ; 0.75 ; 55.1429 ; 12.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::TermInfo ; 4 ; 0 ; 0 ; 3 ; 29.0 ; 13.0 ; 7.25 ; 61.0 ; 51.0 ; 15.25 ; -32.0 ; 5.0 ; -8.0 ; 368.143 ; 152.256 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::ComplexExplanation ; 5 ; 2 ; 0 ; 5 ; 11.0 ; 6.0 ; 2.2 ; 11.0 ; 5.0 ; 2.2 ; 0.0 ; 1.0 ; 0.0 ; 119.286 ; 47.7403 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::DocIdSetIterator ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 35.5714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::db::DbDirectory ; 3 ; 0 ; 0 ; 1 ; 3 ; 1 ; 1.0 ; 3 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 247.0 ; 24.2381 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::CheckHits ; 3 ; 0 ; 0 ; 2 ; 3 ; 1 ; 1.0 ; 3 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 200.429 ; 44.8571 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::Term ; 14 ; 3 ; 0 ; 8 ; 73.0 ; 13.0 ; 5.21429 ; 73.0 ; 51.0 ; 5.21429 ; 0.0 ; 11.0 ; 0.0 ; 368.143 ; 194.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::demo::SearchFiles ; 13 ; 2 ; 0 ; 8 ; 338.0 ; 151.0 ; 26.0 ; 174.0 ; 51.0 ; 13.3846 ; 164.0 ; 111.0 ; 12.6154 ; 349.571 ; 231.055 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::demo::html::ParseException ; 3 ; 1 ; 0 ; 2 ; 8.0 ; 6.0 ; 2.66667 ; 8.0 ; 6.0 ; 2.66667 ; 0.0 ; 0.0 ; 0.0 ; 264.857 ; 220.839 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::surround::query::NotQuery ; 2 ; 0 ; 0 ; 2 ; 7.0 ; 6.0 ; 3.5 ; 6.0 ; 5.0 ; 3.0 ; 1.0 ; 1.0 ; 0.5 ; 170.143 ; 60.2449 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::Among ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 6.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::NonMatchingScorer ; 2 ; 0 ; 0 ; 2 ; 7.0 ; 6.0 ; 3.5 ; 6.0 ; 5.0 ; 3.0 ; 1.0 ; 1.0 ; 0.5 ; 193.286 ; 80.0816 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::TermVectorsTermsWriterPerThread ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 11.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::Explanation ; 7 ; 4 ; 0 ; 5 ; 49.0 ; 25.0 ; 7.0 ; 67.0 ; 51.0 ; 9.57143 ; -18.0 ; 18.0 ; -2.57143 ; 299.286 ; 146.085 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::TermVectorsWriter ; 14 ; 3 ; 0 ; 8 ; 340.0 ; 126.0 ; 24.2857 ; 425.0 ; 310.0 ; 30.3571 ; -85.0 ; 52.0 ; -6.07143 ; 241.714 ; 115.235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::spans::NearSpansOrdered ; 3 ; 1 ; 0 ; 3 ; 42.0 ; 35.0 ; 14.0 ; 16.0 ; 10.0 ; 5.33333 ; 26.0 ; 25.0 ; 8.66667 ; 101.714 ; 79.1939 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
