classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 33.1429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 12 ; 1 ; 0 ; 7 ; 81.0 ; 47.0 ; 6.75 ; 71.0 ; 41.0 ; 5.91667 ; 10.0 ; 6.0 ; 0.833333 ; 335.286 ; 133.847 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 31 ; 0 ; 0 ; 4 ; 472.0 ; 105.0 ; 15.2258 ; 674.0 ; 378.0 ; 21.7419 ; -202.0 ; 75.0 ; -6.51613 ; 104.286 ; 27.5042 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 17 ; 0 ; 3 ; 1 ; 126.0 ; 23.0 ; 7.41176 ; 397.0 ; 326.0 ; 23.3529 ; -271.0 ; 22.0 ; -15.9412 ; 52.4286 ; 10.4875 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 36 ; 0 ; 0 ; 5 ; 176.0 ; 17.0 ; 4.88889 ; 208.0 ; 37.0 ; 5.77778 ; -32.0 ; 15.0 ; -0.888889 ; 240.714 ; 65.1428 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 39 ; 0 ; 2 ; 4 ; 627.0 ; 185.0 ; 16.0769 ; 417.0 ; 91.0 ; 10.6923 ; 210.0 ; 185.0 ; 5.38462 ; 155.429 ; 41.0601 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 5 ; 0 ; 0 ; 3 ; 15.0 ; 11.0 ; 3.0 ; 13.0 ; 11.0 ; 2.6 ; 2.0 ; 1.0 ; 0.4 ; 128.143 ; 83.4857 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 15 ; 0 ; 0 ; 3 ; 440.0 ; 191.0 ; 29.3333 ; 68.0 ; 45.0 ; 4.53333 ; 372.0 ; 191.0 ; 24.8 ; 156.429 ; 13.2305 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEPlugin ; 61 ; 1 ; 1 ; 8 ; 592.0 ; 62.0 ; 9.70492 ; 743.0 ; 176.0 ; 12.1803 ; -151.0 ; 53.0 ; -2.47541 ; 335.286 ; 156.247 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ; 18 ; 1 ; 0 ; 5 ; 706.0 ; 157.0 ; 39.2222 ; 268.0 ; 160.0 ; 14.8889 ; 438.0 ; 121.0 ; 24.3333 ; 151.143 ; 60.9278 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ; 6 ; 1 ; 0 ; 3 ; 22.0 ; 10.0 ; 3.66667 ; 9.0 ; 6.0 ; 1.5 ; 13.0 ; 10.0 ; 2.16667 ; 169.0 ; 74.5844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ; 3 ; 0 ; 0 ; 3 ; 21.0 ; 11.0 ; 7.0 ; 19.0 ; 19.0 ; 6.33333 ; 2.0 ; 10.0 ; 0.666667 ; 128.429 ; 49.8639 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ; 4 ; 0 ; 0 ; 3 ; 18.0 ; 10.0 ; 4.5 ; 15.0 ; 9.0 ; 3.75 ; 3.0 ; 2.0 ; 0.75 ; 183.857 ; 116.056 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ; 54 ; 1 ; 0 ; 9 ; 775.0 ; 195.0 ; 14.3519 ; 594.0 ; 127.0 ; 11.0 ; 181.0 ; 79.0 ; 3.35185 ; 335.286 ; 138.62 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ; 12 ; 0 ; 0 ; 4 ; 277.0 ; 116.0 ; 23.0833 ; 114.0 ; 58.0 ; 9.5 ; 163.0 ; 116.0 ; 13.5833 ; 151.0 ; 21.1171 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ; 12 ; 0 ; 1 ; 2 ; 94.0 ; 34.0 ; 7.83333 ; 40.0 ; 23.0 ; 3.33333 ; 54.0 ; 34.0 ; 4.5 ; 158.0 ; 25.3055 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::plugin::Fragment ; 34 ; 2 ; 1 ; 8 ; 204.0 ; 30.0 ; 6.0 ; 168.0 ; 38.0 ; 4.94118 ; 36.0 ; 10.0 ; 1.05882 ; 335.286 ; 133.715 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::site::SiteEditor ; 42 ; 1 ; 0 ; 9 ; 657.0 ; 203.0 ; 15.6429 ; 466.0 ; 141.0 ; 11.0952 ; 191.0 ; 194.0 ; 4.54762 ; 302.571 ; 88.4264 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::target::TargetObject ; 5 ; 0 ; 1 ; 3 ; 8.0 ; 4.0 ; 1.6 ; 9.0 ; 6.0 ; 1.8 ; -1.0 ; 1.0 ; -0.2 ; 144.857 ; 94.2143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::MainTab ; 24 ; 0 ; 0 ; 4 ; 937.0 ; 640.0 ; 39.0417 ; 629.0 ; 564.0 ; 26.2083 ; 308.0 ; 640.0 ; 12.8333 ; 156.571 ; 11.344 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ; 7 ; 0 ; 0 ; 4 ; 28.0 ; 10.0 ; 4.0 ; 15.0 ; 5.0 ; 2.14286 ; 13.0 ; 10.0 ; 1.85714 ; 187.143 ; 65.3571 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::build::JARFileFilter ; 10 ; 0 ; 0 ; 5 ; 52.0 ; 18.0 ; 5.2 ; 38.0 ; 20.0 ; 3.8 ; 14.0 ; 11.0 ; 1.4 ; 263.429 ; 112.464 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate ; 2 ; 0 ; 1 ; 2 ; 14.0 ; 14.0 ; 7.0 ; 21.0 ; 21.0 ; 10.5 ; -7.0 ; 0.0 ; -3.5 ; 95.5714 ; 58.5714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::toc::TocLink ; 5 ; 0 ; 0 ; 2 ; 242.0 ; 118.0 ; 48.4 ; 37.0 ; 23.0 ; 7.4 ; 205.0 ; 118.0 ; 41.0 ; 59.5714 ; 1.63872 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage ; 10 ; 0 ; 0 ; 6 ; 42.0 ; 10.0 ; 4.2 ; 37.0 ; 9.0 ; 3.7 ; 5.0 ; 3.0 ; 0.5 ; 227.0 ; 71.4558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader ; 7 ; 0 ; 0 ; 3 ; 106.0 ; 49.0 ; 15.1429 ; 35.0 ; 14.0 ; 5.0 ; 71.0 ; 49.0 ; 10.1429 ; 151.143 ; 20.6159 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::RenameDialog ; 16 ; 0 ; 0 ; 7 ; 204.0 ; 75.0 ; 12.75 ; 108.0 ; 71.0 ; 6.75 ; 96.0 ; 69.0 ; 6.0 ; 246.571 ; 99.1989 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::site::SiteInputContext ; 12 ; 0 ; 0 ; 7 ; 96.0 ; 54.0 ; 8.0 ; 97.0 ; 52.0 ; 8.08333 ; -1.0 ; 4.0 ; -0.0833333 ; 227.429 ; 70.3393 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation ; 5 ; 0 ; 0 ; 4 ; 17.0 ; 10.0 ; 3.4 ; 8.0 ; 6.0 ; 1.6 ; 9.0 ; 10.0 ; 1.8 ; 136.286 ; 34.1597 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant ; 5 ; 0 ; 2 ; 2 ; 41.0 ; 11.0 ; 8.2 ; 37.0 ; 35.0 ; 7.4 ; 4.0 ; 10.0 ; 0.8 ; 98.2857 ; 48.4634 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::MessageHelper ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 43.5714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider ; 2 ; 0 ; 0 ; 1 ; 80.0 ; 80.0 ; 40.0 ; 0.0 ; 0.0 ; 0.0 ; 80.0 ; 80.0 ; 40.0 ; 36.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::JRESection ; 15 ; 0 ; 0 ; 5 ; 196.0 ; 45.0 ; 13.0667 ; 118.0 ; 51.0 ; 7.86667 ; 78.0 ; 43.0 ; 5.2 ; 144.286 ; 56.9934 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::plugin::RuntimePage ; 28 ; 0 ; 0 ; 7 ; 136.0 ; 25.0 ; 4.85714 ; 146.0 ; 30.0 ; 5.21429 ; -10.0 ; 12.0 ; -0.357143 ; 227.429 ; 78.4916 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction ; 5 ; 0 ; 0 ; 4 ; 53.0 ; 24.0 ; 10.6 ; 49.0 ; 25.0 ; 9.8 ; 4.0 ; 10.0 ; 0.8 ; 110.143 ; 39.5687 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings ; 8 ; 0 ; 0 ; 5 ; 41.0 ; 17.0 ; 5.125 ; 34.0 ; 17.0 ; 4.25 ; 7.0 ; 10.0 ; 0.875 ; 240.714 ; 62.4983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation ; 4 ; 0 ; 0 ; 2 ; 26.0 ; 11.0 ; 6.5 ; 18.0 ; 13.0 ; 4.5 ; 8.0 ; 9.0 ; 2.0 ; 71.8571 ; 27.3242 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::plugin::PluginAttribute ; 13 ; 0 ; 0 ; 5 ; 410.0 ; 130.0 ; 31.5385 ; 90.0 ; 33.0 ; 6.92308 ; 320.0 ; 130.0 ; 24.6154 ; 151.143 ; 31.6415 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration ; 32 ; 3 ; 0 ; 4 ; 254.0 ; 78.0 ; 7.9375 ; 122.0 ; 50.0 ; 3.8125 ; 132.0 ; 74.0 ; 4.125 ; 147.429 ; 32.0484 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule ; 2 ; 0 ; 0 ; 2 ; 5.0 ; 5.0 ; 2.5 ; 8.0 ; 8.0 ; 4.0 ; -3.0 ; 0.0 ; -1.5 ; 51.8571 ; 17.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::site::SiteObject ; 20 ; 1 ; 0 ; 7 ; 110.0 ; 24.0 ; 5.5 ; 107.0 ; 26.0 ; 5.35 ; 3.0 ; 22.0 ; 0.15 ; 302.571 ; 107.86 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::variables::TargetOSVariableResolver ; 2 ; 0 ; 0 ; 2 ; 1.0 ; 1.0 ; 0.5 ; 2.0 ; 2.0 ; 1.0 ; -1.0 ; 0.0 ; -0.5 ; 69.0 ; 32.8571 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::product::PluginSection ; 49 ; 2 ; 0 ; 5 ; 910.0 ; 216.0 ; 18.5714 ; 481.0 ; 162.0 ; 9.81633 ; 429.0 ; 210.0 ; 8.7551 ; 189.429 ; 49.2801 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate ; 7 ; 0 ; 3 ; 4 ; 34.0 ; 15.0 ; 4.85714 ; 28.0 ; 24.0 ; 4.0 ; 6.0 ; 15.0 ; 0.857143 ; 95.5714 ; 40.2227 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::natures::PluginProject ; 3 ; 0 ; 0 ; 3 ; 16.0 ; 15.0 ; 5.33333 ; 15.0 ; 14.0 ; 5.0 ; 1.0 ; 1.0 ; 0.333333 ; 133.571 ; 91.7232 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation ; 29 ; 2 ; 1 ; 5 ; 613.0 ; 232.0 ; 21.1379 ; 416.0 ; 170.0 ; 14.3448 ; 197.0 ; 199.0 ; 6.7931 ; 175.857 ; 97.6434 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution ; 11 ; 2 ; 2 ; 4 ; 26.0 ; 10.0 ; 2.36364 ; 33.0 ; 23.0 ; 3.0 ; -7.0 ; 10.0 ; -0.636364 ; 128.286 ; 17.7967 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer ; 4 ; 0 ; 0 ; 2 ; 53.0 ; 40.0 ; 13.25 ; 79.0 ; 66.0 ; 19.75 ; -26.0 ; 0.0 ; -6.5 ; 100.143 ; 59.6846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::WorkspacePluginModelManager ; 19 ; 2 ; 0 ; 4 ; 889.0 ; 224.0 ; 46.7895 ; 135.0 ; 102.0 ; 7.10526 ; 754.0 ; 224.0 ; 39.6842 ; 92.5714 ; 16.5832 ; 1 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction ; 7 ; 0 ; 0 ; 2 ; 216.0 ; 100.0 ; 30.8571 ; 15.0 ; 9.0 ; 2.14286 ; 201.0 ; 100.0 ; 28.7143 ; 61.1429 ; 2.64087 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard ; 35 ; 0 ; 0 ; 8 ; 293.0 ; 76.0 ; 8.37143 ; 286.0 ; 104.0 ; 8.17143 ; 7.0 ; 22.0 ; 0.2 ; 240.714 ; 69.0843 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection ; 38 ; 2 ; 0 ; 8 ; 715.0 ; 146.0 ; 18.8158 ; 671.0 ; 125.0 ; 17.6579 ; 44.0 ; 82.0 ; 1.15789 ; 263.429 ; 62.9702 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName ; 10 ; 1 ; 1 ; 3 ; 123.0 ; 52.0 ; 12.3 ; 16.0 ; 6.0 ; 1.6 ; 107.0 ; 52.0 ; 10.7 ; 150.571 ; 9.13357 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider ; 4 ; 0 ; 1 ; 2 ; 21.0 ; 13.0 ; 5.25 ; 48.0 ; 37.0 ; 12.0 ; -27.0 ; 0.0 ; -6.75 ; 108.143 ; 36.4082 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::SpyFormToolkit ; 10 ; 0 ; 1 ; 1 ; 257.0 ; 86.0 ; 25.7 ; 83.0 ; 66.0 ; 8.3 ; 174.0 ; 85.0 ; 17.4 ; 52.1429 ; 10.075 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::registry::ServiceReferenceAdapter ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 20.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard ; 48 ; 1 ; 0 ; 7 ; 920.0 ; 132.0 ; 19.1667 ; 1041.0 ; 305.0 ; 21.6875 ; -121.0 ; 78.0 ; -2.52083 ; 297.571 ; 45.7129 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::PlaybackAction ; 6 ; 0 ; 0 ; 3 ; 10.0 ; 4.0 ; 1.66667 ; 10.0 ; 4.0 ; 1.66667 ; 0.0 ; 2.0 ; 0.0 ; 183.857 ; 95.3429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow ; 2 ; 0 ; 0 ; 2 ; 3.0 ; 3.0 ; 1.5 ; 4.0 ; 4.0 ; 2.0 ; -1.0 ; 0.0 ; -0.5 ; 109.286 ; 75.1429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard ; 13 ; 0 ; 0 ; 5 ; 53.0 ; 13.0 ; 4.07692 ; 40.0 ; 11.0 ; 3.07692 ; 13.0 ; 10.0 ; 1.0 ; 191.143 ; 44.8544 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard ; 19 ; 1 ; 0 ; 6 ; 391.0 ; 281.0 ; 20.5789 ; 907.0 ; 516.0 ; 47.7368 ; -516.0 ; 5.0 ; -27.1579 ; 240.714 ; 26.0142 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::util::Headers ; 2 ; 0 ; 0 ; 1 ; 2.0 ; 2.0 ; 1.0 ; 5.0 ; 5.0 ; 2.5 ; -3.0 ; 0.0 ; -1.5 ; 72.4286 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::site::WorkspaceSiteModel ; 22 ; 1 ; 0 ; 9 ; 107.0 ; 24.0 ; 4.86364 ; 99.0 ; 44.0 ; 4.5 ; 8.0 ; 9.0 ; 0.363636 ; 302.571 ; 137.402 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection ; 2 ; 0 ; 0 ; 2 ; 10.0 ; 10.0 ; 5.0 ; 17.0 ; 17.0 ; 8.5 ; -7.0 ; 0.0 ; -3.5 ; 60.2857 ; 26.1429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::util::XMLComponentRegistry ; 2 ; 0 ; 0 ; 2 ; 25.0 ; 25.0 ; 12.5 ; 26.0 ; 26.0 ; 13.0 ; -1.0 ; 0.0 ; -0.5 ; 110.429 ; 74.2857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSModel ; 8 ; 0 ; 0 ; 3 ; 111.0 ; 86.0 ; 13.875 ; 96.0 ; 86.0 ; 12.0 ; 15.0 ; 86.0 ; 1.875 ; 59.2857 ; 1.8314 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::build::SrcSection ; 19 ; 0 ; 0 ; 5 ; 235.0 ; 43.0 ; 12.3684 ; 295.0 ; 89.0 ; 15.5263 ; -60.0 ; 20.0 ; -3.15789 ; 263.429 ; 41.0887 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
