%%-*- text -*-
%
%  -- Topic: This is the defect prediction data for Eclipse 3.4 SWT, which
%            includes size, complexity, object-oriented metrics, and change metric data.
% 
%  -- Date:  June 2010

@relation 'eclipse34_swt'

@attribute LOC numeric
@attribute AverageComplexity numeric
@attribute MaximumComplexity numeric
@attribute LCOM numeric
@attribute DIT numeric
@attribute IFANIN numeric
@attribute CBO numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute NIM numeric
@attribute NIV numeric
@attribute NCM numeric
@attribute NCV numeric
@attribute WMC numeric
@attribute change_times numeric
@attribute plus numeric
@attribute minus numeric
@attribute isDefective {TRUE,FALSE}

@data
379,2,26,93,7,1,17,0,602,35,6,0,3,35,50,469,879,TRUE
984,3,39,85,5,1,24,0,538,72,11,1,0,73,147,5171,4749,TRUE
2727,5,73,96,5,1,28,0,574,107,64,2,41,109,319,14883,15360,TRUE
4937,3,38,96,6,1,59,1,756,270,58,1,23,271,517,50575,46083,TRUE
334,15,29,0,16,1,28,18,104,6,0,0,0,6,211,1690,2446,TRUE
1344,14,59,88,8,1,79,0,125,27,9,0,3,27,298,6509,9068,TRUE
2055,9,60,94,16,1,181,0,1444,37,16,11,10,48,312,5456,6477,TRUE
30,1,1,14,3,1,4,0,9,2,6,0,1,2,29,211,200,TRUE
3285,9,49,95,16,1,175,0,1471,59,29,12,14,71,349,7900,9383,TRUE
667,18,52,84,24,1,34,0,165,7,0,2,15,9,183,2252,2589,TRUE
417,10,30,88,24,1,34,0,165,7,0,2,21,9,105,901,1127,TRUE
621,14,40,85,24,1,65,0,164,7,0,2,32,9,52,1271,1761,TRUE
406,10,27,88,24,1,35,0,165,7,0,2,19,9,179,1483,1762,TRUE
225,9,25,50,24,1,37,0,54,4,1,0,0,4,49,80,605,TRUE
467,12,47,77,24,1,63,0,137,6,10,2,2,8,45,124,1250,TRUE
586,14,43,83,24,1,39,0,165,7,0,2,25,9,206,1975,2336,TRUE
169,7,24,75,8,1,18,1,67,7,0,5,1,12,185,1297,2028,TRUE
219,9,23,50,24,1,37,0,54,4,1,0,0,4,50,74,593,TRUE
730,15,82,78,24,1,72,0,142,8,15,2,3,10,54,213,1546,TRUE
404,12,27,87,24,1,29,0,164,7,0,1,11,8,60,930,982,TRUE
2583,13,104,94,7,2,121,2,203,41,65,6,12,47,394,6700,8258,TRUE
981,10,40,75,14,1,50,0,142,19,5,8,0,27,275,4178,5106,TRUE
13936,22,315,95,14,1,209,0,811,153,4,24,47,177,989,40621,52134,TRUE
4893,24,168,80,14,2,111,0,224,30,15,14,1,44,483,14487,17482,TRUE
2613,13,127,87,1,2,8,0,42,24,17,18,27,42,74,11445,11606,TRUE
1713,18,44,77,12,1,66,0,168,26,15,0,0,26,157,1867,4805,TRUE
8858,25,297,92,14,1,165,0,466,84,45,2,15,86,511,9948,16720,TRUE
153,9,29,51,1,1,4,1,9,9,12,0,0,9,54,195,435,TRUE
586,13,24,22,12,1,23,0,150,17,1,1,0,18,102,986,2511,TRUE
2241,1,1,100,3,1,65,0,996,0,1,973,1258,973,402,4698,5385,TRUE
201,1,2,100,2,1,4,0,32,0,0,32,150,32,26,14,195,TRUE
198,1,1,0,3,1,8,1,327,47,0,7,0,54,9,540,550,TRUE
104,1,1,0,3,1,4,1,300,8,0,19,0,27,6,280,290,TRUE
29,1,1,0,3,1,5,2,281,8,0,0,0,8,6,90,100,TRUE
91,1,1,0,4,1,4,0,356,28,0,1,0,29,7,260,270,TRUE
451,1,1,0,4,1,7,0,416,133,0,2,0,135,7,1193,1203,TRUE
890,1,2,0,2,1,43,193,273,245,0,26,0,271,15,2467,2485,TRUE
525,1,1,0,3,1,8,1,413,120,0,20,0,140,17,1424,1434,TRUE
132,1,1,0,3,1,5,0,307,30,0,4,0,34,9,499,372,TRUE
686,1,1,0,4,1,25,17,592,202,0,3,0,205,15,1865,1875,TRUE
8994,1,1,100,3,1,10,0,351,0,1,328,8656,328,71,21525,21470,TRUE
10731,1,2,100,3,1,53,1,2408,0,5,2385,497,2385,625,16577,26249,TRUE
228,1,1,100,2,1,2,0,73,68,0,0,21,68,3,693,695,TRUE
256,1,1,100,3,1,1,0,191,0,0,168,86,168,94,676,791,TRUE
3809,1,2,99,3,1,143,1,1131,0,19,1108,1909,1108,462,13622,17605,TRUE
1722,1,1,100,3,1,0,0,1449,0,0,1426,295,1426,97,248,597,TRUE
954,3,19,93,5,1,41,1,530,65,26,0,6,65,64,2158,2250,TRUE
539,3,37,91,5,1,23,0,500,32,9,3,6,35,64,1269,1364,TRUE
803,8,66,91,16,1,48,0,201,21,8,2,5,23,187,3031,3775,TRUE
1476,8,27,91,16,1,77,0,410,23,21,20,15,43,249,4607,5276,TRUE
2586,12,48,91,8,1,76,0,145,13,8,32,15,45,336,14434,15339,TRUE
544,12,43,97,1,1,5,1,7,0,1,7,406,7,183,4889,6673,TRUE
3192,9,65,96,21,1,132,0,2917,108,26,1,9,109,605,10197,12230,TRUE
1176,6,81,50,35,1,71,26,3377,59,2,0,0,59,328,4207,5247,TRUE
682,5,47,89,14,1,75,0,126,26,17,0,4,26,219,2784,3007,TRUE
5958,9,65,96,35,1,134,0,3749,181,28,1,9,182,777,21093,26413,TRUE
5763,8,98,97,28,1,157,68,3327,200,14,1,3,201,811,14689,19148,TRUE
13597,7,93,97,14,2,343,8,2597,566,24,0,1,566,1734,49742,59029,TRUE
2748,6,53,96,25,1,74,0,2556,95,35,1,32,96,172,2901,5689,TRUE
2848,9,64,96,42,1,71,1,3714,100,27,1,0,101,500,10427,12400,TRUE
721,13,65,67,14,1,54,0,123,11,4,0,1,11,270,3281,3725,TRUE
14072,10,135,99,14,1,291,0,1122,308,520,31,86,339,1614,37368,48090,TRUE
1068,4,25,85,12,1,37,0,788,51,17,1,3,52,52,258,987,TRUE
1661,12,135,82,14,1,62,0,195,29,10,0,5,29,398,6134,7960,TRUE
1442,6,74,92,14,1,96,0,168,44,26,0,17,44,311,6751,7694,TRUE
999,4,28,93,35,1,56,0,3380,54,11,1,3,55,388,3911,4473,TRUE
866,6,30,87,8,1,36,0,717,28,8,0,11,28,36,628,1583,TRUE
1932,7,64,91,21,1,97,0,2818,71,13,1,4,72,458,7572,8488,TRUE
3451,9,238,91,21,1,154,0,2830,90,17,0,5,90,203,1881,2486,TRUE
4849,10,67,93,28,1,115,0,3260,120,9,1,7,121,585,18812,20961,TRUE
3097,8,40,95,14,1,135,0,1482,97,27,4,7,101,509,11617,14596,TRUE
2768,10,72,87,21,1,128,0,1465,82,7,1,2,83,513,12089,13697,TRUE
923,21,191,76,14,1,42,0,119,12,3,1,0,13,276,3480,3904,TRUE
847,4,26,94,21,1,41,0,2778,42,10,1,5,43,299,3350,4203,TRUE
1807,6,26,82,21,1,107,0,2772,70,8,1,3,71,350,5353,6172,TRUE
963,5,32,96,21,1,68,0,2801,42,10,1,2,43,306,4051,4780,TRUE
1391,5,24,74,21,1,71,3,2811,67,5,0,0,67,356,4771,5484,TRUE
2005,6,43,90,14,1,88,0,1397,78,16,1,0,79,425,9387,10364,TRUE
6744,8,93,98,49,1,170,0,4245,229,55,7,13,236,1177,20362,26541,TRUE
3900,7,41,94,35,1,126,0,3606,137,23,1,8,138,293,9019,9693,TRUE
3242,7,39,96,35,1,108,0,3547,121,22,1,7,122,489,9383,10785,TRUE
1026,7,63,89,21,1,70,0,1326,40,13,0,7,40,272,2907,3680,TRUE
13628,10,114,98,30,1,191,0,3518,349,94,2,50,351,1429,42710,54591,TRUE
1702,7,54,92,18,1,92,0,1217,60,23,2,2,62,367,7316,9411,TRUE
4241,11,70,90,18,1,84,0,1347,105,25,1,1,106,526,15095,19261,TRUE
6204,9,59,96,28,1,171,0,3398,179,24,1,9,180,849,22526,26789,TRUE
2408,6,36,94,35,1,85,0,3497,114,15,1,5,115,481,6866,8440,TRUE
3755,7,58,93,21,1,149,0,1546,138,28,1,6,139,623,13833,16000,TRUE
1387,7,43,88,8,1,82,0,743,37,22,1,7,38,73,857,1225,TRUE
4564,22,226,85,14,1,128,0,1318,54,21,1,2,55,386,13082,16642,TRUE
1080,7,30,89,18,1,88,0,1154,39,15,0,1,39,126,1440,2360,TRUE
15283,10,155,98,30,1,198,0,3509,391,127,2,60,393,1456,44072,59303,TRUE
1587,7,32,91,18,1,84,0,1217,59,24,2,0,61,202,2056,3196,TRUE
5624,11,73,91,18,1,99,0,1441,135,33,5,3,140,591,19128,25719,TRUE
6170,4,101,99,7,1,118,11,778,458,7,3,139,461,817,18224,24247,TRUE
8,1,1,100,0,0,1,1,2,2,0,0,4,2,4,4,15,TRUE
249,1,3,76,1,2,2,0,10,10,3,0,0,10,10,14,82,TRUE
72,2,4,64,1,1,3,0,6,6,7,0,0,6,5,128,108,TRUE
22,1,1,0,4,1,3,0,60,6,1,0,0,6,2,1,1,TRUE
96,2,8,57,5,1,7,0,44,9,5,0,0,9,4,2,5,TRUE
94,2,7,60,5,1,7,0,44,9,5,0,0,9,2,1,1,TRUE
65,4,7,43,5,1,5,0,39,4,3,0,1,4,2,3,179,TRUE
25,1,2,19,5,1,3,0,40,5,1,0,0,5,2,1,1,TRUE
33,1,2,66,6,1,3,0,51,6,1,0,0,6,2,1,1,TRUE
25,1,2,19,5,1,4,0,40,5,1,0,0,5,1,0,0,TRUE
93,2,4,62,5,1,7,0,44,9,5,0,0,9,2,1,1,TRUE
119,1,6,0,3,1,4,3,54,17,0,0,0,17,2,1,1,TRUE
15,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,21,TRUE
265,1,3,0,1,1,25,0,27,0,0,27,0,27,4,0,44,TRUE
54,0,0,0,1,1,0,0,0,0,0,0,52,0,26,214,205,TRUE
24,1,1,0,1,2,1,16,11,11,0,0,0,11,23,390,564,TRUE
1306,7,36,84,1,1,23,0,52,18,8,34,11,52,50,1256,1962,TRUE
70,1,4,66,1,1,7,0,9,9,3,0,0,9,2,0,100,TRUE
27,1,1,55,3,1,3,0,9,2,8,0,1,2,22,137,299,TRUE
288,2,8,90,5,1,13,0,490,23,15,2,9,25,88,1578,1687,TRUE
519,4,32,88,6,1,18,9,513,27,11,1,4,28,79,1975,1708,TRUE
3,1,1,0,1,2,1,0,1,1,0,0,0,1,22,51,53,TRUE
678,4,32,84,3,1,13,0,202,31,15,0,7,31,127,3422,3631,TRUE
12,1,1,25,3,1,3,0,8,1,3,0,1,1,23,84,88,TRUE
24,1,1,9,3,1,4,0,8,1,9,0,1,1,30,102,156,TRUE
16,1,1,16,3,1,2,0,8,1,5,0,1,1,6,2,90,TRUE
115,2,9,63,1,1,9,0,11,10,3,1,0,11,32,619,383,TRUE
245,3,14,85,5,1,9,3,481,15,8,1,1,16,63,1584,1217,TRUE
86,2,10,66,2,2,2,0,20,11,3,0,0,11,49,634,542,TRUE
7,0,0,0,2,1,2,0,3,0,5,0,0,0,17,58,52,TRUE
88,3,6,57,2,1,9,3,13,7,1,0,0,7,11,34,328,TRUE
36,1,1,11,3,1,4,0,9,2,8,0,1,2,27,314,253,TRUE
57,3,3,80,8,1,3,0,1,0,10,1,0,1,154,786,1032,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,59,68,TRUE
6,1,1,0,1,2,1,89,2,2,0,0,0,2,14,63,70,TRUE
29,1,1,14,3,1,2,0,9,2,6,0,1,2,19,124,133,TRUE
38,1,1,9,3,1,2,2,9,2,9,0,1,2,32,197,235,TRUE
1756,26,171,76,14,1,63,0,123,11,4,7,5,18,280,4991,6506,TRUE
1538,15,117,80,7,1,17,0,122,22,26,4,0,26,233,5718,6921,TRUE
235,0,0,0,7,1,43,0,0,0,108,0,0,0,238,662,831,TRUE
422,12,42,71,12,1,41,0,81,9,18,0,0,9,87,803,1713,TRUE
100,1,3,29,1,2,2,0,13,13,4,0,1,13,30,331,408,TRUE
1374,13,32,78,14,1,52,0,251,33,4,6,1,39,216,4451,6926,TRUE
28,2,4,42,1,1,2,10,7,7,1,0,0,7,13,6,52,TRUE
435,4,15,94,2,1,10,0,36,0,0,22,36,22,102,1427,1676,TRUE
15,1,1,0,3,1,3,0,277,4,0,0,0,4,2,202,16,TRUE
44,1,1,0,3,1,2,0,286,13,0,0,0,13,2,43,15,TRUE
35,1,1,0,3,1,2,0,284,11,0,0,0,11,2,16,18,TRUE
42,1,1,0,3,1,1,0,286,13,0,0,0,13,2,29,18,TRUE
38,1,1,0,3,1,1,0,285,12,0,0,0,12,2,15,17,TRUE
276,1,1,0,4,1,12,0,471,82,0,2,0,84,7,1028,775,TRUE
140,1,1,0,4,1,8,0,353,33,0,7,0,40,9,543,421,TRUE
110,1,1,0,5,1,7,1,624,32,0,0,0,32,10,307,317,TRUE
317,1,1,0,6,1,11,0,756,96,0,2,0,98,6,854,864,TRUE
161,1,1,0,3,1,4,0,315,31,0,11,0,42,9,598,448,TRUE
468,1,1,0,3,1,14,3,418,142,0,3,0,145,8,1248,1258,TRUE
20,1,1,0,4,1,2,0,318,4,0,1,0,5,7,68,78,TRUE
382,1,1,0,3,1,9,0,375,39,0,63,0,102,9,1338,1014,TRUE
54,1,1,0,3,1,4,0,288,13,0,2,0,15,7,158,168,TRUE
44,1,1,0,3,1,7,0,285,12,0,0,0,12,7,130,140,TRUE
145,1,1,0,3,1,8,0,314,31,0,10,0,41,6,390,400,TRUE
26,1,1,0,3,1,1,2,281,8,0,0,0,8,6,86,96,TRUE
122,1,1,0,3,1,4,1,306,23,0,10,0,33,7,346,365,TRUE
113,1,1,0,6,1,6,1,692,34,0,0,0,34,6,312,322,TRUE
29,1,1,0,3,1,3,0,281,7,0,1,0,8,6,92,102,TRUE
194,1,1,0,3,1,6,0,331,47,0,11,0,58,9,557,567,TRUE
103,1,1,0,3,1,5,0,299,15,0,11,0,26,6,274,284,TRUE
267,1,1,0,3,1,11,0,346,48,0,25,0,73,9,1004,728,TRUE
39,1,1,0,3,1,1,0,285,11,0,1,0,12,6,118,128,TRUE
104,1,1,0,3,1,5,0,304,21,0,10,0,31,9,399,334,TRUE
48,1,1,0,3,1,3,0,286,7,0,6,0,13,6,138,148,TRUE
35,1,1,0,3,1,4,0,283,9,0,1,0,10,6,129,122,TRUE
238,1,1,0,3,1,12,0,343,62,0,8,0,70,13,666,676,TRUE
138,1,1,0,3,1,9,7,313,19,0,21,0,40,7,530,392,TRUE
56,1,1,0,3,1,6,0,289,13,0,3,0,16,6,213,178,TRUE
465,1,1,0,3,1,22,0,408,135,0,0,0,135,11,1228,1238,TRUE
21,1,1,0,3,1,3,0,279,6,0,0,0,6,6,70,80,TRUE
196,1,1,0,3,1,8,1,332,53,0,6,0,59,8,749,573,TRUE
38,1,1,0,3,1,4,0,283,7,0,3,0,10,7,118,128,TRUE
40,1,1,0,4,1,3,0,336,11,0,1,0,12,11,163,153,TRUE
41,1,1,0,4,1,6,0,302,13,0,0,0,13,6,164,143,TRUE
12,1,1,0,3,1,1,0,276,2,0,1,0,3,6,46,56,TRUE
33,1,1,0,3,1,3,0,283,10,0,0,0,10,6,102,112,TRUE
36,1,1,0,4,1,4,0,342,9,0,1,0,10,7,110,120,TRUE
58,1,1,0,3,1,4,0,289,15,0,1,0,16,6,166,176,TRUE
25,1,1,0,4,1,3,0,305,7,0,0,0,7,6,82,92,TRUE
97,1,1,0,3,1,6,7,300,26,0,1,0,27,6,266,276,TRUE
107,1,1,0,3,1,8,0,305,32,0,0,0,32,6,412,313,TRUE
120,1,1,0,5,1,7,1,628,36,0,0,0,36,7,330,340,TRUE
29,1,1,0,3,1,2,0,281,8,0,0,0,8,7,94,104,TRUE
554,1,1,0,6,1,18,1,834,168,0,1,0,169,7,2158,1478,TRUE
39,1,1,0,3,1,5,0,283,10,0,0,0,10,6,116,126,TRUE
123,1,1,0,3,1,5,0,309,34,0,2,0,36,7,341,351,TRUE
80,1,1,0,3,1,5,1,293,12,0,8,0,20,7,218,228,TRUE
827,1,1,0,4,1,26,2,637,243,0,7,0,250,18,2223,2233,TRUE
111,1,1,0,4,1,8,0,357,31,0,1,0,32,6,312,322,TRUE
2,0,0,0,7,1,0,0,690,0,0,0,0,0,2,0,16,TRUE
61,1,1,0,3,1,9,0,290,17,0,0,0,17,6,146,132,TRUE
7,0,0,0,1,1,1,0,0,0,4,0,1,0,12,12,30,TRUE
41,1,1,100,2,1,2,0,15,10,0,0,7,10,3,1,88,TRUE
64,1,1,100,3,1,2,0,33,17,0,0,9,17,9,230,353,TRUE
39,1,1,100,3,1,2,0,18,11,0,0,3,11,2,166,166,TRUE
15,1,1,100,3,1,2,0,18,3,0,0,3,3,2,102,102,TRUE
428,1,2,99,4,1,22,0,1289,0,0,158,261,158,84,2027,2283,TRUE
42,1,3,0,2,1,5,0,14,9,0,0,0,9,18,87,96,TRUE
234,5,11,81,1,1,5,0,12,12,22,0,0,12,41,568,750,TRUE
583,4,25,92,6,1,31,1,567,36,10,1,1,37,56,1186,1650,TRUE
727,16,72,62,36,1,42,0,2941,6,7,0,2,6,74,537,804,TRUE
24,1,1,0,1,1,0,0,1,1,14,0,0,1,8,3,121,TRUE
32,1,2,80,2,2,2,0,7,7,2,0,1,7,29,229,295,TRUE
1534,10,37,83,14,1,77,0,1334,42,14,0,1,42,272,6003,6539,TRUE
1914,5,27,95,15,1,34,0,1521,82,18,1,9,83,237,5477,6711,TRUE
52,1,6,76,1,1,4,7,10,9,3,1,0,10,36,349,403,TRUE
35,1,1,74,1,1,4,2,3,3,22,0,0,3,48,418,510,TRUE
1638,5,39,88,20,1,75,0,2004,87,14,1,0,88,75,483,1612,TRUE
184,1,4,96,1,1,16,0,32,0,0,32,3,32,19,356,427,TRUE
19,1,1,50,4,2,4,14,35,3,2,0,0,3,13,28,41,TRUE
22,1,1,0,4,1,3,0,60,6,1,0,0,6,2,1,1,TRUE
93,2,4,62,5,1,7,0,44,9,5,0,0,9,2,1,1,TRUE
51,1,2,85,5,1,3,4,45,10,2,0,0,10,2,1,1,TRUE
79,1,4,64,6,1,7,0,49,6,6,0,1,6,2,2,2,TRUE
11,1,1,66,2,1,0,0,5,2,2,0,1,2,22,120,145,TRUE
14,1,1,62,2,1,0,0,5,2,3,0,1,2,11,29,32,TRUE
6,1,1,0,1,2,1,4,2,2,0,0,0,2,12,41,43,TRUE
6,1,1,0,1,2,1,1,2,2,0,0,0,2,11,47,44,TRUE
13,1,1,75,3,1,1,0,9,2,1,0,1,2,12,16,36,TRUE
369,2,9,87,2,1,30,0,55,23,7,1,2,24,4,5,14,TRUE
11,1,1,50,3,1,2,0,8,1,3,0,1,1,16,99,118,TRUE
39,8,8,33,1,1,6,0,1,0,0,1,3,1,29,308,183,TRUE
105,3,7,73,1,1,9,3,7,7,11,0,1,7,32,553,332,TRUE
3,1,1,0,1,1,1,0,1,1,0,0,0,1,21,86,84,TRUE
3,1,1,0,1,1,1,3,1,1,0,0,0,1,22,89,81,TRUE
3,1,1,0,1,1,1,1,1,1,0,0,0,1,22,83,81,TRUE
256,2,8,88,5,1,9,2,493,27,9,1,0,28,57,1680,1735,TRUE
50,2,4,46,2,1,7,0,8,5,3,0,0,5,31,267,267,TRUE
121,3,11,60,3,1,13,0,19,6,5,0,3,6,12,103,298,TRUE
126,2,10,65,2,1,9,0,18,11,5,0,1,11,35,501,403,TRUE
21,1,1,57,3,1,3,0,9,2,6,0,1,2,21,179,167,TRUE
3,1,1,0,1,1,1,13,1,1,0,0,0,1,23,83,82,TRUE
5,1,1,0,1,2,1,21,3,3,0,0,0,3,22,114,117,TRUE
112,2,8,73,1,1,6,0,12,12,5,0,0,12,16,196,201,TRUE
6,1,1,0,1,2,1,23,2,2,0,0,0,2,14,64,71,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,59,68,TRUE
6,1,1,0,1,2,1,0,2,2,0,0,0,2,3,1,2,TRUE
6,1,1,0,1,2,1,40,2,2,0,0,0,2,14,63,70,TRUE
6,1,1,0,1,2,1,17,2,2,0,0,0,2,14,63,70,TRUE
6,1,1,100,3,1,1,0,8,1,0,0,1,1,16,59,68,TRUE
8,1,1,0,1,2,1,80,3,3,0,0,0,3,17,78,85,TRUE
8,1,1,0,1,2,1,9,3,3,0,0,0,3,16,77,84,TRUE
14,1,1,50,3,1,1,0,9,2,1,0,1,2,18,80,89,TRUE
6,1,1,0,1,2,1,2,2,2,0,0,0,2,14,63,70,TRUE
30,1,2,65,2,1,3,32,7,4,4,0,1,4,27,137,159,TRUE
25,1,3,0,1,1,1,0,4,4,3,0,0,4,6,4,9,TRUE
15,1,1,25,2,1,2,0,5,2,3,0,1,2,23,115,123,TRUE
65,2,5,45,1,1,2,0,6,6,8,0,0,6,18,232,241,TRUE
18,1,1,0,3,1,4,0,278,5,0,0,0,5,7,67,77,TRUE
74,1,1,0,4,1,5,9,441,23,0,0,0,23,6,212,222,TRUE
4,0,0,0,1,1,0,0,0,0,6,0,0,0,6,22,33,TRUE
90,1,1,0,3,1,2,1,301,28,0,0,0,28,7,257,267,TRUE
161,1,1,0,3,1,3,0,318,34,0,11,0,45,7,448,458,TRUE
18,1,1,0,3,1,2,0,278,4,0,1,0,5,6,64,74,TRUE
72,1,1,0,3,1,7,1,292,19,0,0,0,19,14,220,230,TRUE
236,1,1,0,3,1,5,0,347,53,0,21,0,74,9,835,706,TRUE
185,1,1,0,5,1,10,1,498,57,0,0,0,57,6,502,512,TRUE
31,1,1,0,3,1,4,0,281,8,0,0,0,8,7,98,108,TRUE
104,1,1,0,4,1,3,0,331,25,0,4,0,29,8,378,318,TRUE
68,1,1,0,5,1,7,0,611,19,0,0,0,19,6,192,202,TRUE
11,1,1,0,4,1,1,0,303,3,0,0,0,3,6,46,56,TRUE
83,1,1,0,5,1,5,0,616,24,0,0,0,24,6,232,242,TRUE
36,1,1,0,6,1,3,0,669,11,0,0,0,11,6,112,122,TRUE
123,1,1,0,6,1,4,0,497,38,0,0,0,38,6,340,350,TRUE
31,1,1,0,4,1,2,0,291,5,0,3,0,8,6,96,106,TRUE
40,1,1,0,3,1,3,0,285,12,0,0,0,12,6,122,132,TRUE
16,1,1,0,4,1,3,0,304,4,0,0,0,4,6,58,68,TRUE
19,1,1,0,4,1,1,0,318,5,0,0,0,5,7,66,76,TRUE
109,1,1,0,3,1,4,1,302,19,0,10,0,29,11,429,330,TRUE
8,0,0,0,1,1,1,0,0,0,6,0,0,0,6,30,40,TRUE
20,1,1,0,3,1,1,0,278,3,0,2,0,5,6,68,78,TRUE
190,1,1,0,3,1,7,1,324,43,0,8,0,51,7,501,511,TRUE
19,1,1,0,4,1,2,0,282,5,0,0,0,5,6,66,76,TRUE
40,1,1,0,3,1,4,0,284,11,0,0,0,11,6,118,128,TRUE
186,1,1,0,3,1,8,0,325,51,0,1,0,52,7,497,507,TRUE
16,1,1,0,3,1,2,1,277,4,0,0,0,4,6,62,71,TRUE
47,1,1,0,3,1,4,0,285,11,0,1,0,12,6,172,151,TRUE
155,1,1,0,3,1,6,0,318,44,0,1,0,45,6,592,434,TRUE
184,1,1,0,3,1,8,0,326,50,0,3,0,53,6,708,505,TRUE
68,1,1,0,7,1,5,0,774,21,0,0,0,21,6,194,204,TRUE
30,1,1,0,3,1,3,0,281,5,0,3,0,8,6,92,102,TRUE
81,1,1,0,3,1,5,0,296,21,0,2,0,23,6,224,234,TRUE
37,1,1,0,3,1,4,0,284,8,0,3,0,11,6,112,122,TRUE
44,1,1,0,3,1,1,0,285,10,0,2,0,12,6,128,138,TRUE
33,1,1,0,4,1,3,0,295,7,0,2,0,9,6,100,110,TRUE
24,1,1,0,4,1,2,0,294,6,0,0,0,6,6,76,86,TRUE
70,1,1,0,4,1,3,0,353,17,0,4,0,21,6,276,214,TRUE
58,1,1,0,6,1,2,0,676,18,0,0,0,18,6,168,178,TRUE
27,1,1,0,4,1,3,0,287,6,0,1,0,7,6,84,94,TRUE
2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,20,30,TRUE
2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,20,30,TRUE
309,1,1,0,6,1,11,1,753,95,0,0,0,95,6,840,850,TRUE
85,1,1,0,6,1,5,1,523,25,0,0,0,25,6,236,246,TRUE
20,1,1,0,4,1,3,0,285,4,0,1,0,5,6,66,76,TRUE
103,1,1,0,3,1,5,0,303,30,0,0,0,30,7,287,297,TRUE
31,1,1,0,3,1,3,0,281,8,0,0,0,8,6,94,104,TRUE
15,1,1,0,4,1,2,0,304,4,0,0,0,4,6,54,64,TRUE
29,1,1,0,4,1,3,0,309,9,0,0,0,9,6,92,102,TRUE
74,1,1,0,4,1,3,0,320,24,0,0,0,24,6,292,230,TRUE
37,1,1,0,4,1,2,0,424,10,0,1,0,11,7,148,133,TRUE
98,1,1,0,3,1,6,0,301,26,0,2,0,28,6,268,278,TRUE
22,1,1,0,3,1,5,0,279,6,0,0,0,6,6,72,82,TRUE
11,1,1,0,3,1,1,0,276,3,0,0,0,3,6,44,54,TRUE
28,1,1,0,3,1,3,0,280,5,0,2,0,7,6,107,101,TRUE
96,1,1,0,4,1,4,2,310,29,0,0,0,29,7,304,314,TRUE
27,1,1,0,3,1,1,0,281,8,0,0,0,8,7,88,98,TRUE
42,1,1,0,5,1,4,0,604,11,0,1,0,12,7,159,147,TRUE
38,1,1,0,4,1,2,0,296,7,0,3,0,10,7,118,128,TRUE
