%%-*- text -*-
%
%  -- Topic: This is the defect prediction data for Eclipse 3.4 DEBUG, which
%            includes size, complexity, object-oriented metrics, and change metric data.
% 
%  -- Date:  June 2010

@relation  'eclipse34_Debug'

@attribute LOC numeric
@attribute AverageComplexity numeric
@attribute MaximumComplexity numeric
@attribute LCOM numeric
@attribute DIT numeric
@attribute IFANIN numeric
@attribute CBO numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute NIM numeric
@attribute NIV numeric
@attribute NCM numeric
@attribute NCV numeric
@attribute WMC numeric
@attribute change_times numeric
@attribute plus numeric
@attribute minus numeric
@attribute defect_num numeric
@attribute isDefective {TRUE,FALSE}

@data
10,1,1,0,0,0,4,1,8,8,0,0,0,8,4,11,8,1,TRUE
9,1,1,0,0,0,1,1,7,7,0,0,0,7,10,20,30,2,TRUE
42,2,6,50,4,1,9,0,23,6,1,0,1,6,7,9,13,1,TRUE
126,3,20,75,2,1,1,0,9,9,3,0,18,9,34,576,779,1,TRUE
17,1,1,0,1,2,4,1,19,15,0,0,0,15,25,238,337,1,TRUE
21,1,1,0,1,1,6,1,20,19,0,0,0,19,42,496,583,1,TRUE
10,1,1,0,0,0,2,1,8,8,0,0,0,8,12,24,44,1,TRUE
319,2,12,93,2,6,15,1,40,38,7,0,0,38,53,818,1122,1,TRUE
8,1,1,0,4,1,0,1,16,6,0,0,0,6,18,48,94,1,TRUE
410,2,6,93,1,4,18,3,41,41,7,0,8,41,29,157,300,1,TRUE
36,1,2,83,2,2,7,5,11,9,1,0,1,9,12,25,69,1,TRUE
147,3,15,78,3,1,6,0,21,10,4,0,1,10,22,172,259,1,TRUE
40,1,2,77,2,2,7,1,11,9,1,0,0,9,11,13,14,1,TRUE
27,1,2,83,4,1,9,0,23,6,0,0,1,6,12,21,27,1,TRUE
5,1,1,0,1,1,0,1,5,3,0,0,0,3,10,12,27,1,TRUE
45,2,7,0,2,1,7,4,17,6,0,0,0,6,5,11,61,1,TRUE
8,1,1,0,3,2,2,0,19,2,0,0,0,2,3,12,20,1,TRUE
26,2,4,0,2,1,14,0,7,2,1,0,0,2,3,22,26,1,TRUE
96,1,4,88,2,2,15,0,14,9,1,0,0,9,21,182,275,1,TRUE
18,1,2,50,1,2,4,0,4,4,2,0,0,4,1,0,0,1,TRUE
35,1,2,0,3,2,12,0,23,8,0,0,0,8,1,9,8,1,TRUE
14,1,1,0,4,1,6,0,54,2,1,0,0,2,19,49,52,1,TRUE
74,2,5,74,1,4,9,1,9,9,3,0,0,9,2,12,65,1,TRUE
34,3,5,0,3,1,7,0,20,2,0,0,0,2,7,9,16,1,TRUE
60,2,6,75,1,2,18,3,6,6,1,0,1,6,2,44,55,1,TRUE
56,1,2,64,2,1,12,0,28,7,2,0,0,7,12,67,102,1,TRUE
19,1,1,100,2,1,0,0,11,1,0,0,12,1,13,17,25,1,TRUE
26,4,8,0,1,2,7,0,2,2,0,0,0,2,7,35,51,1,TRUE
13,1,2,0,2,1,7,0,8,2,0,0,0,2,2,6,18,1,TRUE
38,1,4,50,1,1,7,0,5,5,2,0,0,5,9,15,23,1,TRUE
21,0,0,0,0,0,0,0,0,0,0,0,19,0,5,41,6,1,TRUE
225,2,11,77,5,1,30,0,118,11,4,0,0,11,4,92,63,1,TRUE
30,6,6,0,1,2,14,0,1,1,0,0,0,1,16,68,55,1,TRUE
22,1,1,0,7,1,9,1,231,6,0,0,0,6,183,9244,8651,1,TRUE
252,2,8,84,1,3,14,0,28,27,4,1,1,28,42,399,482,1,TRUE
67,10,13,0,2,1,11,0,7,1,0,1,0,2,6,68,87,1,TRUE
32,1,1,0,4,3,14,0,87,4,0,0,0,4,49,404,356,1,TRUE
67,2,5,75,3,2,5,0,32,8,2,0,0,8,14,253,261,1,TRUE
51,1,1,76,3,2,6,0,23,10,5,0,0,10,7,70,126,1,TRUE
3,1,1,0,0,0,1,1,1,1,0,0,0,1,5,35,37,1,TRUE
8,1,1,0,2,1,3,2,15,6,0,0,0,6,9,95,92,1,TRUE
4,1,1,0,2,1,0,1,11,2,0,0,0,2,2,2,2,1,TRUE
51,1,2,79,2,2,5,0,14,9,7,0,0,9,4,5,32,1,TRUE
70,2,7,66,4,2,15,0,35,6,1,0,0,6,17,227,261,1,TRUE
53,1,3,0,2,2,7,0,21,10,0,0,0,10,19,138,202,1,TRUE
236,2,11,82,2,1,15,1,43,26,2,0,0,26,68,662,722,1,TRUE
65,2,3,0,1,3,7,0,7,7,0,0,0,7,6,44,87,1,TRUE
69,1,3,79,1,1,10,0,8,6,2,2,1,8,3,8,19,1,TRUE
17,1,1,25,3,1,6,0,35,4,1,0,0,4,5,73,93,1,TRUE
114,2,2,14,1,4,11,0,7,7,1,0,0,7,49,400,481,1,TRUE
128,3,7,55,3,2,31,0,59,6,4,0,2,6,16,212,110,1,TRUE
50,3,8,25,2,2,11,0,13,4,1,0,0,4,9,150,44,1,TRUE
50,2,6,19,4,2,14,0,57,5,1,0,0,5,11,32,78,1,TRUE
38,0,0,0,2,1,0,0,10,0,0,0,33,0,18,96,131,1,TRUE
262,3,12,82,4,3,41,2,68,16,4,0,0,16,42,914,995,1,TRUE
44,2,3,25,1,2,8,0,4,4,1,0,0,4,4,22,40,1,TRUE
242,3,10,77,1,4,8,0,14,14,5,0,4,14,11,33,89,1,TRUE
639,3,20,81,2,1,28,0,41,31,8,0,0,31,20,157,459,1,TRUE
241,2,6,80,4,3,29,0,64,12,6,0,0,12,18,377,539,1,TRUE
3,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,TRUE
9,0,0,0,2,1,0,0,10,0,0,0,4,0,1,0,0,1,TRUE
44,1,3,55,1,2,8,5,9,9,1,0,0,9,6,14,14,1,TRUE
8,1,1,0,2,1,2,0,11,2,0,0,0,2,15,64,66,1,TRUE
139,1,5,88,4,3,19,0,73,21,3,0,0,21,31,113,220,1,TRUE
74,2,6,67,1,4,16,0,7,7,4,0,0,7,11,37,45,1,TRUE
5,1,1,0,2,1,4,0,8,1,0,0,0,1,10,13,11,1,TRUE
21,1,1,80,2,1,2,0,4,4,2,0,3,4,7,10,7,1,TRUE
14,1,1,0,0,0,3,1,12,12,0,0,0,12,11,81,140,1,TRUE
12,1,1,100,1,1,1,2,10,9,0,0,1,9,24,129,235,1,TRUE
6,1,1,0,1,1,4,3,6,4,0,0,0,4,2,46,41,1,TRUE
4,1,1,0,1,1,1,1,7,2,0,0,0,2,8,60,21,1,TRUE
6,1,1,0,0,0,1,1,4,4,0,0,0,4,6,10,11,1,TRUE
61,1,3,30,2,1,17,0,37,10,1,0,0,10,16,23,32,1,TRUE
16,1,1,0,0,0,5,1,14,14,0,0,0,14,22,145,221,1,TRUE
9,1,1,0,0,0,4,1,7,7,0,0,0,7,9,39,64,1,TRUE
218,2,9,87,2,2,13,1,22,20,9,0,2,20,31,115,166,1,TRUE
105,3,14,71,4,1,15,2,26,9,5,0,0,9,10,76,131,1,TRUE
83,2,8,73,4,1,5,0,27,10,2,0,1,10,13,25,33,1,TRUE
9,1,1,50,5,1,3,0,28,2,0,0,1,2,11,19,26,1,TRUE
57,1,6,81,5,1,5,0,34,8,1,0,1,8,15,64,72,1,TRUE
633,2,7,94,1,3,32,0,36,36,11,0,4,36,97,1685,2334,1,TRUE
8,1,1,0,3,2,2,0,19,2,0,0,0,2,3,10,14,1,TRUE
8,1,1,0,3,2,2,0,19,2,0,0,0,2,3,10,14,1,TRUE
139,1,3,84,1,2,12,0,21,21,5,0,0,21,28,103,170,1,TRUE
58,2,4,60,7,1,23,0,73,5,2,0,0,5,11,39,61,1,TRUE
33,2,3,0,7,1,9,0,72,4,0,0,0,4,13,94,77,1,TRUE
41,1,3,78,7,1,11,0,155,7,1,0,1,7,8,148,86,1,TRUE
11,1,1,33,1,2,5,0,3,3,1,0,0,3,1,6,44,1,TRUE
62,4,8,33,5,1,18,0,63,3,2,0,1,3,3,7,8,1,TRUE
5,1,1,0,2,1,1,4,22,1,0,0,0,1,3,4,56,1,TRUE
133,3,11,68,5,2,24,0,66,8,2,0,0,8,1,11,13,1,TRUE
53,2,5,57,1,3,11,2,7,7,2,0,0,7,5,36,21,1,TRUE
30,1,3,0,2,2,8,0,18,7,0,0,0,7,2,10,36,1,TRUE
71,1,2,33,5,1,23,0,117,4,3,0,0,4,4,153,185,1,TRUE
16,1,2,33,3,2,1,0,10,3,2,0,0,3,2,5,7,1,TRUE
195,1,5,87,1,4,12,0,29,29,5,0,0,29,19,522,511,1,TRUE
36,1,1,100,2,1,0,0,11,1,0,0,29,1,8,12,8,1,TRUE
100,1,3,71,3,2,24,0,64,11,4,0,3,11,12,85,111,1,TRUE
23,1,2,75,2,2,7,0,35,4,1,0,0,4,3,2,2,1,TRUE
114,1,5,84,6,2,23,1,225,19,2,0,0,19,30,571,235,1,TRUE
117,3,6,55,1,2,10,0,9,9,5,0,0,9,14,244,337,1,TRUE
184,1,5,81,7,1,29,0,163,15,5,0,0,15,14,126,152,1,TRUE
100,2,6,77,2,2,12,0,12,8,2,1,3,9,9,109,95,1,TRUE
41,1,4,100,1,2,9,2,6,6,0,0,1,6,2,4,4,1,TRUE
15,1,1,0,1,1,5,0,3,3,1,0,0,3,8,36,29,1,TRUE
145,0,0,0,2,1,0,0,10,0,0,0,140,0,37,132,298,1,TRUE
5,1,1,0,2,1,2,0,8,1,0,0,0,1,6,9,8,1,TRUE
37,1,1,72,2,2,4,2,13,8,6,0,0,8,9,73,96,1,TRUE
5,1,1,0,0,0,3,2,3,3,0,0,0,3,6,57,64,1,TRUE
4,1,1,0,0,0,2,3,2,2,0,0,0,2,8,55,60,1,TRUE
87,3,5,19,4,2,25,0,57,5,1,0,0,5,2,69,61,1,TRUE
53,19,19,0,1,2,25,0,1,1,0,0,0,1,27,182,225,1,TRUE
37,2,7,0,2,1,10,0,21,4,0,0,0,4,18,121,115,1,TRUE
36,1,2,50,2,2,7,0,19,8,1,0,0,8,29,268,243,1,TRUE
103,2,6,74,2,1,4,0,13,11,5,0,0,11,14,240,352,1,TRUE
29,1,2,50,2,2,10,0,8,5,2,0,0,5,10,122,109,1,TRUE
260,3,10,0,8,1,17,0,376,20,0,0,0,20,13,257,454,1,TRUE
37,1,2,68,2,2,4,0,10,7,1,1,1,8,2,4,4,1,TRUE
55,1,3,41,2,3,9,0,14,12,1,0,0,12,9,15,68,1,TRUE
14,1,2,0,5,1,6,0,70,2,1,0,0,2,19,158,87,1,TRUE
197,1,8,80,3,2,32,0,33,11,6,0,0,11,16,107,135,1,TRUE
116,4,8,40,4,1,27,1,57,5,1,0,0,5,15,158,262,1,TRUE
52,3,7,0,1,2,7,0,3,3,0,0,0,3,5,17,18,1,TRUE
79,2,6,61,4,2,11,0,59,7,3,0,0,7,3,38,20,1,TRUE
2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,1,TRUE
86,3,7,30,4,1,21,0,57,5,2,0,0,5,19,41,161,1,TRUE
30,1,3,50,3,2,6,0,20,5,2,0,0,5,10,26,54,1,TRUE
5,1,1,0,2,1,4,0,8,1,0,0,0,1,10,13,11,1,TRUE
13,1,1,0,0,0,9,1,11,11,0,0,0,11,20,75,128,1,TRUE
5,1,1,0,0,0,3,1,3,3,0,0,0,3,14,186,142,1,TRUE
3,1,1,0,0,0,1,1,1,1,0,0,0,1,13,42,52,1,TRUE
2418,3,23,95,4,3,101,1,156,113,44,2,7,115,50,1292,2376,1,TRUE
369,3,12,85,2,1,43,0,50,16,10,7,5,23,24,159,161,1,TRUE
130,1,4,80,8,1,26,0,179,11,5,0,0,11,14,139,185,1,TRUE
82,3,15,75,1,2,7,2,8,8,1,0,1,8,11,34,64,1,TRUE
51,1,3,81,2,2,7,1,13,11,2,0,0,11,10,13,13,1,TRUE
8,1,1,0,4,2,2,0,20,2,0,0,0,2,3,12,16,1,TRUE
21,1,3,16,4,1,3,0,55,3,2,0,0,3,13,72,93,1,TRUE
184,1,11,90,1,4,28,1,22,22,2,0,0,22,1,19,22,1,TRUE
9,1,1,0,2,1,6,0,8,2,0,0,0,2,2,2,7,1,TRUE
132,1,5,80,1,4,20,2,21,21,4,0,1,21,17,88,190,1,TRUE
42,4,9,33,2,1,7,0,8,3,1,0,0,3,1,0,0,1,TRUE
205,2,8,68,3,2,46,0,75,10,5,0,0,10,28,141,225,1,TRUE
15,1,2,0,3,2,7,0,15,2,2,0,0,2,7,55,62,1,TRUE
6,1,1,0,1,1,2,10,9,4,0,0,0,4,14,88,88,1,TRUE
94,1,3,89,1,3,8,0,17,17,3,0,5,17,12,31,70,1,TRUE
23,2,3,0,1,2,3,0,3,3,0,0,0,3,1,6,7,1,TRUE
152,2,6,75,1,6,40,0,11,11,12,0,0,11,29,178,287,1,TRUE
145,1,3,80,1,4,17,0,14,14,7,0,0,14,34,2949,687,1,TRUE
112,2,4,0,7,1,22,0,212,12,0,0,0,12,1,0,0,1,TRUE
52,1,3,70,4,3,20,4,62,10,1,0,0,10,24,137,215,1,TRUE
66,1,3,50,5,1,21,0,128,6,2,0,0,6,17,47,86,1,TRUE
3,1,1,0,1,1,0,2,6,1,0,0,0,1,3,2,3,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,7,1,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,7,1,0,FALSE
3,1,1,0,2,1,0,2,7,1,0,0,0,1,5,10,6,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,8,2,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,8,6,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,7,1,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,7,1,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,7,1,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,8,2,0,FALSE
2,0,0,0,1,1,0,1,2,0,0,0,0,0,3,8,2,0,FALSE
5,1,1,0,0,0,2,1,3,3,0,0,0,3,15,39,46,0,FALSE
3,1,1,0,0,0,0,6,1,1,0,0,0,1,6,12,11,0,FALSE
5,1,1,0,0,0,2,8,3,3,0,0,0,3,6,15,19,0,FALSE
3,1,1,0,0,0,1,3,1,1,0,0,0,1,9,54,60,0,FALSE
3,1,1,0,0,0,1,33,1,1,0,0,0,1,6,19,17,0,FALSE
5,1,1,0,0,0,1,0,3,3,0,0,0,3,8,18,18,0,FALSE
5,1,1,0,0,0,1,3,3,3,0,0,0,3,6,15,19,0,FALSE
5,1,1,0,0,0,1,7,3,3,0,0,0,3,11,60,76,0,FALSE
4,1,1,0,0,0,2,4,2,2,0,0,0,2,7,35,27,0,FALSE
3,1,1,0,1,1,1,11,4,1,0,0,0,1,5,6,6,0,FALSE
5,1,1,0,0,0,1,13,3,3,0,0,0,3,12,79,94,0,FALSE
3,1,1,0,0,0,2,1,1,1,0,0,0,1,5,15,29,0,FALSE
4,1,1,0,1,2,0,2,5,2,0,0,0,2,8,18,32,0,FALSE
4,1,1,0,0,0,1,6,2,2,0,0,0,2,6,14,21,0,FALSE
3,1,1,0,0,0,2,1,1,1,0,0,0,1,10,10,40,0,FALSE
7,1,1,0,0,0,1,3,5,5,0,0,0,5,9,28,16,0,FALSE
3,1,1,0,0,0,2,15,1,1,0,0,0,1,8,18,18,0,FALSE
3,1,1,0,0,0,1,1,1,1,0,0,0,1,11,53,52,0,FALSE
140,1,3,90,2,2,14,2,23,21,1,0,0,21,37,368,635,0,FALSE
60,1,8,83,2,2,10,3,14,12,1,0,0,12,5,4,12,0,FALSE
18,1,1,100,1,1,3,4,11,10,0,0,6,10,31,437,527,0,FALSE
5,1,1,0,1,1,2,15,4,3,0,0,0,3,13,214,102,0,FALSE
3,1,1,0,0,0,0,0,1,1,0,0,0,1,5,9,20,0,FALSE
7,1,1,0,2,6,4,2,25,5,0,0,0,5,21,148,192,0,FALSE
5,1,1,0,0,0,1,3,3,3,0,0,0,3,9,64,63,0,FALSE
4,1,1,0,0,0,1,1,2,2,0,0,0,2,4,6,10,0,FALSE
4,1,1,0,3,1,0,2,10,2,0,0,0,2,4,4,6,0,FALSE
6,1,1,0,2,1,2,1,8,4,0,0,0,4,9,78,86,0,FALSE
4,1,1,0,1,1,1,2,9,2,0,0,0,2,6,11,16,0,FALSE
5,1,1,0,1,1,0,2,6,3,0,0,0,3,5,13,21,0,FALSE
6,1,1,0,3,1,2,4,13,4,0,0,0,4,7,5,29,0,FALSE
3,1,1,0,0,0,4,1,1,1,0,0,0,1,18,133,110,0,FALSE
6,1,1,0,1,1,4,1,5,4,0,0,0,4,12,43,95,0,FALSE
5,1,1,0,2,1,1,2,14,3,0,0,0,3,7,55,69,0,FALSE
4,1,1,0,0,0,2,1,2,2,0,0,0,2,7,11,14,0,FALSE
3,1,1,0,0,0,1,1,1,1,0,0,0,1,7,8,9,0,FALSE
7,1,1,0,2,1,1,1,9,5,0,0,0,5,13,96,100,0,FALSE
20,1,1,0,3,1,3,1,27,18,0,0,0,18,17,205,286,0,FALSE
4,1,1,0,0,0,2,2,2,2,0,0,0,2,8,65,66,0,FALSE
3,1,1,0,1,1,2,0,3,1,0,0,0,1,4,11,13,0,FALSE
5,1,1,0,1,1,2,3,4,3,0,0,0,3,12,23,22,0,FALSE
11,1,1,100,1,2,4,3,10,6,0,0,3,6,19,125,155,0,FALSE
3,1,1,0,3,1,2,0,14,1,0,0,0,1,9,48,53,0,FALSE
5,1,1,0,2,1,2,0,7,3,0,0,0,3,9,71,86,0,FALSE
3,1,1,0,0,0,1,1,1,1,0,0,0,1,14,91,90,0,FALSE
11,1,1,0,2,4,4,2,28,9,0,0,0,9,16,224,346,0,FALSE
9,1,1,0,0,0,1,3,7,7,0,0,0,7,13,122,127,0,FALSE
5,1,1,0,0,0,0,1,3,3,0,0,0,3,6,10,7,0,FALSE
5,1,1,0,0,0,1,2,3,3,0,0,0,3,13,71,72,0,FALSE
