@relation ar5

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data 
151,38,13,4,100,64,28,189,285,92,474,2143,0.024187,41.3438,88599.6562,0.71433,4922.2031,64,32,0,29,3,29,0.29,1.1034,0,0,0.19205,0,false
42,8,3,0,31,18,11,40,59,29,99,333,0.081818,12.2222,4070,0.111,226.1111,16,8,0,8,4,5,0.16129,1,0,0,0.11905,0,false
208,38,28,4,142,70,17,259,371,87,630,2813,0.031797,31.45,88468.85,0.93767,4914.9361,104,52,17,52,12,41,0.28873,1,17,0.41463,0.19712,0,true
48,9,8,4,31,28,14,56,88,42,144,538,0.071429,14,7532,0.17933,418.4444,32,16,6,16,5,12,0.3871,1,6,0.5,0.25,0,false
135,44,20,2,71,87,23,203,258,110,461,2166,0.037267,26.8333,58121,0.722,3228.9444,70,35,4,35,10,26,0.3662,1,4,0.15385,0.19259,0,true
125,25,12,4,88,62,27,153,229,89,382,1714,0.030017,33.3145,57101.0807,0.57133,3172.2823,70,35,9,33,6,29,0.32955,1.0606,9,0.31034,0.232,0,true
14,2,0,0,12,13,11,18,29,24,47,149,0.13131,7.6154,1134.6923,0.049667,63.0385,8,4,1,4,0,5,0.41667,1,1,0.2,0.35714,0,false
147,32,10,4,105,46,17,165,247,63,412,1706,0.032799,30.4891,52014.4565,0.56867,2889.692,92,46,0,46,8,38,0.3619,1,0,0,0.2585,0,false
214,55,38,8,121,71,23,221,309,94,530,2407,0.027936,35.7958,86160.4296,0.80233,4786.6905,108,54,4,54,17,37,0.30579,1,4,0.10811,0.1729,0,true
112,23,7,3,82,35,23,226,305,58,531,2156,0.013467,74.2571,160098.4,0.71867,8894.3556,90,45,1,43,15,30,0.36585,1.0465,1,0.033333,0.26786,0,false
110,29,11,3,70,48,23,135,182,71,317,1351,0.030918,32.3438,43696.4062,0.45033,2427.5781,54,27,1,26,7,21,0.3,1.0385,1,0.047619,0.19091,0,true
49,14,7,3,28,23,16,53,74,39,127,465,0.054245,18.4348,8572.1739,0.155,476.2319,22,11,0,11,3,9,0.32143,1,0,0,0.18367,0,true
